[0.00 - 15.10]  Okay, how did that last exercise go?
[16.44 - 17.20]  Welcome back.
[17.56 - 19.82]  Any questions about this process?
[19.92 - 22.82]  I wonder if that worked for her.
[22.90 - 23.82]  For those of you listening to the tapes,
[23.82 - 65.12]  we have a picture of one of our delighted clients on this. I think. You notice the smoke coming out of her ears. Any questions about the process? Good. Good. Like I said, the decision destroyer is something you can do like a quick fix. It works with a number of different modalities of either time, space, matter, or energy. Simultaneously, it is something that we don't have to necessarily take a detailed personal history for. And there may be times when you want to take a detailed personal history, but there may be times when you don't want to,
[65.46 - 66.96]  and you don't want to go through all of timeline therapy,
[67.00 - 227.56]  in which case this is a very quick sort of process. Yeah? One question. It seems that there's something that's deeper down that may come up as well. The question was, it seemed like there's something underneath that that may come up as well, yes? So what you're saying is this method would not be appropriate for working with or not working with deeper level issues. I think whenever you do something like this, it's good to have the backup of timeline therapy so that if you need to, you can go handle the deeper stuff. Sometimes you can peel off or you can blow out boundaries on a decision which will then only make the client aware of a deeper level decision. But you'll notice with Matthew, as I did in the demonstration, he did something that we decided at birth. As long as we got back far enough, that was fine. Anytime you do anything where you go beyond boundaries, there is a possibility that you may bring up stuff which the client themselves had not considered before. And when they consider that in a new light, it may be problematical for them, in which case you may have an additional intervention to do. Anytime, when you do anything really. I I mean, even just talking to somebody at a restaurant, you could say, you know, geez, how long have you had that problem? And they go. You know, or, when was the first, and it's just an innocent remark, you know. But, so, I mean, I think this is a, I think this is a fine thing to use. And just knowing that it's in the category of what I would call oftentimes quick fixes. And a quick fix is you can get the job done quickly, you can change a decision, you can assist the client in doing that, and you may need to go to a deeper level. And you know you may need to go to a deeper level, in which case you'd use timeline therapy for that. Right? Yes yes in my case I started to cry and the facilitator interpret that as meaning I was in a terrible space but never asked me what it meant to me was that for the first time I considered there was a before and that did open up a space I didn't come up with any ideas what it did but really i mean and that was emotion being released and i guess what i was going to say is it might be so the practitioner the master practitioner to consider that you were in a bad state was obviously doing mind a mind read it might be just good to ask what are you feeling yeah oftentimes when i have a client who a client who does that, I'll say, you know, like, what are you feeling?
[227.60 - 228.04]  Or what's up?
[228.12 - 229.54]  What are those tears about?
[230.02 - 240.18]  And if the client says, no, they're really good, then that's great, you know. A lot of times clients react that way and do that, and I think to say, oh, the client's in a bad state is not necessarily so. So, that's good.
[240.18 - 241.18]  Right.
[241.18 - 242.18]  Okay.
[242.18 - 244.18]  Any other questions or comments about the process?
[244.18 - 245.18]  Yes.
[245.18 - 245.22]  In our group, when I was working as a practitioner, I wasn't... Right. Okay, any other questions or comments about the process? Yes.
[245.36 - 251.30]  In our group, when I was working as a practitioner, I wasn't, I had help.
[251.70 - 252.38]  The help came.
[253.48 - 258.28]  And what had occurred is I hadn't really gotten the full state disassociated.
[258.82 - 262.98]  It was pointed out that there was a little bit of a change, but not really a true change.
