[0.00 - 18.64]  Okay, so for strategy elicitation, here's the news.
[19.14 - 22.24]  You probably should have also, in addition to memorizing page 813,
[22.88 - 45.90]  you probably should have also memorized the eye patterns. Yeah. Shouldn't we have? Yeah. Probably should have memorized the eye patterns. So let's talk about the NLP eye patterns. The NLP eye patterns have been a subject of much interesting debate outside of NLP. The psychologists of the United States Army decided that eye patterns, the NLP eye patterns have been a subject of much interesting debate outside of NLP.
[45.90 - 69.72]  The psychologists of the United States Army decided that eye patterns, the NLP eye patterns didn't actually work and they published, I would say, a book that was about an inch thick refuting the issue. And that was because, if you look at me for just a second, that was because when they asked the generals in the Pentagon what color their house was, the generals in the Pentagon went like this, down to Auditory Digital to repeat the question, and then went up to Visual
[69.72 - 125.18]  to... What color their house was, the generals in the Pentagon went like this, down to Auditory Digital to repeat the question, then they went up to visual to find out what color their house was. And so the Department of the Army decided that iPads were not useful because the person didn't always go to visual. At least that's my understanding from reading that particular book. Well, in fact, you do have to notice if the person's repeating what you said. You do have to notice what the person's lead system is. You remember from your practitioner training, the lead system is how they access information. You do also have to know what the person's primary rep system is, which is the predicates, how they put those out. Let's talk about these eye patterns for just a moment. First of all, one of the things in NLP is that eye patterns are for others. The first thing that you need to learn about eye patterns in NLP, if this is the first time you've run across them, is that they're for others. The least beneficial thing you can do is to try to figure out what your eyes are doing.
[125.90 - 146.16]  Because I've seen people do that, and it'll take you a while to figure that out, and I wouldn't even bother. So the first thing when you come across the eye patterns is to just take them as they come and notice that they're for someone else. So the rule of thumb is, as you look at the slide, number 94, notice that the NLP eye patterns are, first of all, They're easy to remember because they're in alphabetical order.
[146.50 - 147.80]  Construct comes before recall.
[148.44 - 225.34]  So across the top, it's visual construct, visual recall. Across the middle, it's auditory construct, auditory recall. That's easy to remember. So it's VAK down the left side and VAAD down the right side as you look at someone. In my experience, it's the easiest thing to do is to find out how people move their eye patterns. One of the things that some people try to do along the way is they try to look for exceptions to the eye pattern. So if you're one of the people who likes to look for exceptions, let me let you off the hook, okay? Here's how I'm gonna let you off the hook. I've been eliciting eye patterns since 1984 with people, and in every single practitioner and every single master practitioner class that I've had so far, someone has come up to me and said, hey, I've found someone who doesn't have these eye patterns and also who doesn't have a reversed set of eye patterns. That is to say, I found somebody who has normally organized eye patterns on the top and reversed eye patterns on the bottom. I want you to know that in every single class that I've ever taught, someone has come up to me and said that. These are the people who are looking for exceptions to the eye patterns. Let me just say that I don't really know if I-patterns are real or not.
[227.78 - 229.58]  But I do know that when I get someone's strategy and I feed it back to them in the order and sequence
[229.58 - 231.92]  that I've observed, that is, utilizing,
[240.12 - 241.60]  then usually what happens is the person will go into a certain state, whatever state I've elicited, and whatever state they're going into. like if I've elicited the strategy for motivation then they'll go into a motivated state
[241.60 - 244.24]  so looking for
[244.24 - 246.26]  exceptions to the I patterns only does one thing
[246.26 - 248.14]  it makes the I patterns which you
[248.14 - 245.36]  have elicited useless then they'll go into a motivated state. So looking for exceptions to the eye patterns
[245.36 - 246.22]  only does one thing.
[246.60 - 250.00]  It makes the eye patterns which you have elicited useless.
[252.68 - 254.50]  Okay, so I'd like to propose, first of all,
[254.54 - 256.66]  that it doesn't matter whether eye patterns are real or not
[256.66 - 258.26]  as long as they produce some results.
[259.20 - 261.10]  Now, the other thing is, and my experience is,
[261.12 - 263.54]  and we're going to actually do an exercise right now
[263.54 - 265.82]  so we can determine whether or not
[265.82 - 268.04]  your client is normally organized or not.
[269.30 - 271.52]  And the first thing I'd like to do,
[271.74 - 274.10]  and also whether or not there's some glitches
[274.10 - 275.38]  in the eye patterns or not, whichever,
[276.22 - 278.14]  and we'll find out how that's going to happen here
[278.14 - 278.54]  in just a minute.
[279.62 - 281.66]  What I'd like to propose is that you look for
[281.66 - 286.76]  either this organization, slide number 94,
[287.10 - 289.34]  or you look for an entire reversal
[289.34 - 325.44]  I'm going to show you how you look for either this organization on slide number 94, or you look for an entire reversal of the eye patterns, which means that entire chart is mirror image to what it is. That would mean that the visual recall, auditory recall, auditory digital are down the left side as you look at the person. Visual construct, auditory construct and kinesthetic are down the right side as you look at the person. And like I said, I've watched people look for exceptions to these eye patterns and find themselves not using eye patterns for two or three years. So I want to free you up from having to do that. And I also need to say that since 1984, I have not found a single person who didn't have either normally organized
[325.44 - 332.18]  eye patterns or reversed organized eye patterns who didn't also have trauma in their past.
[332.18 - 339.56]  So some clients, so let me show you how that might work. So let's say you said to the client,
[339.56 - 343.60]  can you, do you have a favorite beach? And they went, yeah, can you remember walking
[343.60 - 385.46]  on the beach, the cool, wet sand? And the client goes over to the auditory digital site. Whereas normally, whereas so far, they did visual construct up and to the left as you look at them. They did visual recall up and to the right as you looked at them. They did auditory construct horizontal and left. And they did auditory recall horizontal and to the right. And yet, when you got down to kinesthetic, they went down and to the right-hand side as you look at them. And you'd say to yourself, I found a person that doesn't conform to the normal eye patterns. If you ask this person, is there any trauma in your past, my guess is you're likely to find out there is.
[465.84 - 505.60]  So here's the theory, and we're going to do an eye-tracking test right now. So actually what happens is, and Robert Dills is one of the first people to point this out, that the quality of our life is based on the quality of our synesthesias. So you all remember what a synesthesia is from your practitioner training. A synesthesia is a two-step strategy or a strategy where we have a visual external and get something or some kind of an external and get some sort of an internal off of that. If there's any glitches in the movement of the eyes in a certain direction, then we're not going to have that accessing be as smooth or as easy for the client to do. So what I want to do is test tracking. And one of the rules of thumb is some people have reasons why the eye tracking may not go into a certain quadrant. I'm going to explain this in just a minute or give you some examples, but let me explain it. So let's just say that a younger person had nightmares at night when they were a child. And they would get up in the morning and they would recall the nightmares to their parents and tell them about them. And the parents would say, well, just don't make pictures like that. So maybe the child then decreased the use of visual construct or visual recall. Such to the extent, by the way, and I've actually had clients who I said, put your eyes up into this quadrant, and the client would say, I can't put my eyes up there. They're so weak they won't move up there, or it actually physically hurts when I try to put my eyes up into that quadrant. So, you may find a client who's got some sort of either minor or or major trauma possibly or just even even a well-meaning adult telling a child don't make pictures in your head, or a well-meaning adult telling a child, oh, don't construct those sounds in your head. I had one client that had used to hear, you know, we're all nuts when we're kids, right? I used to, my room used to change size, but I don't know what yours did.
