[0.00 - 6.94]  The compulsion blowout I've used
[6.94 - 9.48]  three times in my NLP career.
[10.08 - 11.96]  I want you to know that it's worked every time
[11.96 - 15.46]  and it's a very, very intense
[15.46 - 18.76]  for the client and for the master practitioner technique.
[18.76 - 21.40]  It is really intense.
[22.26 - 26.84]  But for some compulsions like anorexia and bulimia, it's a really good
[26.84 - 65.14]  intervention. By the way, anorexia is life-threatening. Here's a disclaimer. Anorexia is life-threatening, and you may want, if you're going to work with anorexia, you may want to have a doctor refer the client to you because it is a life-threatening disease. okay what is anorexia anorexia is a what it's actually a rev? Anorexia is a what? It's actually a revulsion. Anorexia is a revulsion. It's a revulsion about food. And bulimia is what? A compulsion plus a revulsion. So bulimia's got two parts. It's a compulsion and a revulsion. And so if you're going to do a compulsion blowout for bulimia, you've got to do
[65.14 - 72.88]  both of them. Okay, so bulimia is a compulsion plus a revulsion. Anorexia is just a revulsion.
[74.12 - 77.44]  Let me see. I had a bulimic client for whom timeline therapy was sufficient.
[78.68 - 82.06]  But I've had several other clients for whom it wasn't sufficient.
[83.22 - 85.62]  And I also used a compulsion blowout once
[85.62 - 106.56]  for a guy who was smoking. We were working on smoking. I want you to know that each time I used it, it worked. The thing about the compulsion blowout is that, let's see how to put it, once you blow this thing out, there's no way back. So once you blow it out and you go over a threshold, then there's no way back. I'm actually not going to demonstrate it because it's a very uncomfortable technique
[106.56 - 128.68]  for the client and for myself, but I think you guys ought to know it because it's one of the ways that it's like a sledgehammer. It's like using a sledgehammer. So it's a real decent intervention. It's a fun intervention, but it's a tough one. And one of the things is once you start, you must complete it. If you, if you start, if you notice, notice if you start ratcheting the client up, like
[128.68 - 147.64]  what would happen if those of you who are afraid of spiders if we'd taken you up and left you right there with your feelings the most in your body it wouldn't work so you've either got to get the client to go over threshold as in the distance one number three and or the client's got to go over the threshold in terms of size in terms of number one on slide number 103. So the client's got to go over the threshold in terms of size in terms of one on slide number 103.
[148.40 - 152.08]  So the client's got to go over threshold when you do this process,
[152.08 - 154.94]  which means that you need to talk to them before you do the compulsion blowout
[154.94 - 158.54]  and you need to say to them, look, this is a very hard process.
[158.74 - 162.06]  You may want to stop in the middle and if we begin it,
[162.20 - 163.96]  my agreement with you is that we need to complete it.
[326.54 - 326.62]  My agreement with you is that we need to complete it. My agreement with you is that we need to complete it. So if you begin the compulsion blowout, you really have to complete it. You really must complete the compulsion blowout. If you don't complete the compulsion blowout, you leave the client more compulsed than they were. And that wouldn't be good? So like a bulimic would be more bulimic, an anorexic would be more anorexic, that would not be good. So you really must finish it. I would recommend doing timeline therapy first. Like I said, I've done this, I think, three or four times total. It's a hard technique. When you finish, the client's got to have a positive representation of what they will do without the problem so think about this for a minute a client with bulimia spends a lot of time doing that during the day and a lot of clients who have for example anorexia spends a lot of time doing food things all day a client without a compulsion or revulsion may end up feeling empty, with nothing to do with their life. So you need to give them something else to do with it. And it is possible that someone could become suicidal after you blew out the compulsion or revulsion. So you've got to be real careful about giving them a future pace, something to do. And that's all in these notes here. Okay, let's look. Let's look and see what we would do then. There's two parts to the process. First of all, you want to elicit a description of the thing compulsed about. So you're going to ask them, what are you compulsed about? And you want to elicit a description of something similar but not compulsed about. So for example, someone who's compulsed about pistachios might not be compulsed about peanuts. So I have to eat pistachios all the time, not compulsed about peanuts. Someone who's compulsed about ice cream might not be compulsed about yogurt, especially unsweetened yogurt. It looks the same, but it don't taste the same. So you're going to get the submodality differences and test the differences for drivers uh walsh art 13 the same color same but associated dissociated centers you're going to test the drivers and find out if the drivers are what infinite in extent and analog or if they're if they're analog but not infinite so for example if size or any other infinite driver or it could be distance which is not an infinite driver so if it's size you can go that's great I'm really pleased and what you're gonna do is you're gonna take the picture and blow it up just like we did the spider thing right you're gonna blow it up beyond the side beyond the size known universe. Initially, the feeling of compulsion will increase.
[344.86 - 345.18]  At some point, it will pop out. That's an easy one for the client, usually. The second one's tougher. And if it's distance, you need to use the ratchet method like a car jack. And you're going to do it just the same exact way that we did motivation just a few minutes ago. Only this time, you're going to pump it up. and I would say use your hand, especially if you can get your hand,
[346.62 - 346.94]  get the picture anchored to your hand,
[348.66 - 348.80]  and move your hand from outward to inward,
[348.44 - 352.80]  bringing the hand into the client's face. Clear the screen, bring it in, clear the screen,
[360.64 - 360.84]  bring it in. What's going to happen is it's going to do the same thing as slide 103, number three. It's going to pump up, pump up, pump up, pump up, like a car jack.
[363.84 - 364.84]  And at some point, if you jack the car up enough, it'll fall over, right?
[367.82 - 369.12]  Well, that's what happens with the ratchet method, and they'll go over the top.
[366.68 - 366.90]  Then steps eight. Like a car jack, and at some point, if you jack the car up enough, it'll fall over, right? Well, that's what happens with the ratchet method,
[367.82 - 386.74]  and they'll go over the top. Then steps eight, nine, and ten are the same for both. You wait until the client settles down in about five minutes. Test by having them make a picture. Theoretically, there should be no compulsion. If there is still a compulsion, do it again. i've never had to do it again but if there is still a compulsion you may do
[386.74 - 389.80]  it again number 10 you want to swish you want to
[389.80 - 446.88]  have the old picture swished up into a new picture. What's the new picture? The new picture is, what are you going to do instead? What are you going to do instead? So this is why it makes me very confident when a client comes to me and says, can you work with this? I can feel confident that we can handle whatever the client's got. It may take some time to get to this point of me doing a compulsion blowout, but if I do timeline therapy, for example, for anorexia or bulimia, and that doesn't necessarily work in the first week or two, then I may be tempted to go to the compulsion blowout and do that. Okay, so that's the process of how to do a compulsion blowout. Like I said, we're not going to do it in class, but you may run into a client that you want to do it with, so we'll let you use it as necessary. I want to know if you can recommend things that are okay to do instead.
[447.68 - 449.42]  Things that are safe to suggest.
