[0.00 - 24.04]  The question is,
[24.24 - 65.32]  what's the first thing that you want to do? Probably the first thing you want to do if you really want to integrate the conscious mind and the unconscious mind is to present some information. Okay, let's look at page 414. There's about 30 things I do when I'm doing a training. I'll often sort of open loops and sort of not close them, as you noticed. Builds an error of expectancy. Let's get on with it, or that sort of thing. We can also structure the state of the students moment to moment using hypnotic language patterns and anchoring these states.
[65.70 - 67.72]  One of the things I wonder if you've noticed
[67.72 - 70.28]  is that you're pretty much anchored to the sound of my voice
[70.28 - 73.64]  and from time to time that I can change the tone
[73.64 - 75.98]  and the tempo and the pitch of my voice
[75.98 - 78.94]  and as I do that you can probably experience
[78.94 - 81.20]  certain shifts in your consciousness
[81.20 - 105.54]  to where it gets easier and easier just to sort of settle down and pay attention to certain internal states and processes. And you're probably even anchored to my posture because when I actually sit a certain way and just sort of settle back, you probably find yourself entering a different state than if I were more forward,
[105.80 - 107.16]  using a little bit different tone of voice,
[107.24 - 108.30]  using a little bit different tempo,
[108.42 - 109.28]  a little bit different pitch,
[109.46 - 111.92]  and moving in just a little bit different speed.
[112.62 - 114.70]  And notice, so notice that from time to time
[114.70 - 116.74]  that we can actually change
[116.74 - 120.30]  and begin to experience moving back and forth
[120.30 - 122.18]  in different, and actually in different states.
[122.46 - 146.88]  And it's just a matter of once the anchors have been set up, once the anchoring is all set. And for this training, the anchoring was all set up, if you want to go back and listen to the tapes, was actually pretty well set up in the first hour and a half to three hours for everyone in the room. And so by this time, the anchoring of the voice tonality, the tempo, and the pitch is pretty well set.
[146.88 - 163.44]  So you're able to access those states, and personally what I do is I use the different levels of trance and different levels of state to allow the students to be able to experience those levels. And when we need this student more in trance, then they're more in trance, and when they're not more in trance, they're not more in trance. They come out of trance, but not yet,
[163.72 - 165.28]  because I want to go through some information,
[165.42 - 167.48]  which will be more fun if you're just relaxed.
[168.00 - 265.58]  So the next thing I do is sequence the content. Content sequencing is very, very important in a training. Each material needs to lead to the next, and that's one of the things that I'm very happy with that we do in our trainings is I think we've got our trainings pretty well sequenced. The training I'm most proud of, of course is the trainer's training, the way it sequences people from ground zero to really full-on trainers. Content chunking is also important, and that really has to do with what logical level you're operating at. If you chunk too big, you're likely to lose people, and if you chunk too small, you're likely to bore them. So a training always sort of treads that fine line between too little and too much information. Personally, I'll sit and look at a room and calibrate the room and notice what they're doing, paying attention to that, and then when I see that they've got enough information, then we'll just go ahead and do the exercise. Do I use anchors during the training at all? Yeah, okay, well, we mentioned that. Have you noticed, by the way, that a lot of the patterns that you learned during this training were demonstrated before you actually did them? I don't know if you've noticed that. Of course, some people will notice that and then they won't want to notice it. Some people would prefer that it wasn't exactly that way, or some people would prefer that it was that way. And actually, a lot of times, you know, they may know inside themselves or they may know outside themselves. Some people may have an experience of that once and know it or twice and know it. Some people will have to see it and they'll know it. Some people will actually have to
[265.58 - 305.88]  have someone tell them and then they would know that that was happening. I don't know. Some people would like to do it alone. Some people need to do it in groups in terms of understanding that. And I don't know if you've noticed that from time to time, probably somewhere between a few hours to as much as a couple or three days that I'll actually demonstrate on a nonverbal level the patterns we're about to teach. And I don't know if you've noticed this, but probably you could notice it if you were going to go back and listen to the tapes, is this leads to number 14, which is a feeling of familiarity.
[325.26 - 326.50]  I don't know how much of the material that you've gotten into has, as you've gotten into it, seemed to be familiar. Have you noticed a certain feeling of familiarity with the material as you got into it? How many people have noticed that? Good. Virtually everyone, yeah. Good. So what that means is that we've done our sequencing correctly. So as you come into new pieces of material. By the way, what did I just do a few minutes ago? Just a moment ago? What did I non-verbally demonstrate?
[328.04 - 345.32]  Metaprograms, right. Just a few moments ago, I non-verbally ran through about seven or eight of the metaprograms on a non-verbal level. I mean, not non-verbally, but I used the patterns without identifying it linguistically. So what I want you to know is that that happens throughout all of the trainings that I do,
[346.02 - 345.32]  where we'll actually be demonstrating on a nonver happens throughout all of the trainings that I do,
[345.84 - 347.42]  where we'll actually be demonstrating
[347.42 - 348.62]  on a nonverbal level
[348.62 - 349.40]  some of the material
[349.40 - 350.24]  that's about to come,
[350.58 - 351.36]  which gives the student
[351.36 - 352.22]  a feeling of familiarity
[352.22 - 352.92]  before that.
[353.86 - 354.66]  That's number six.
[355.38 - 356.44]  Training states, of course.
[356.50 - 357.62]  You've gone through certain states
[357.62 - 358.38]  from time to time.
[358.96 - 359.44]  And of course,
[359.54 - 360.22]  from time to time,
