[0.00 - 3.04]  Let's get specific.
[29.50 - 29.58]  Page 4-7. The key elements in modeling, physiology. First key in physiology is breathing, by the way. And then get the posture. Once you've got the breathing correct, then you've got the posture correct, then everything else sort of flows from that. In terms of the filter patterns, what do we need to know? We need to know some things. We need to know the metaprograms. That's what MP stands for in here. You need to know what the client's metaprograms are,
[25.32 - 25.36]  which include... In terms of the filter patterns, what do we need to know? We need to know some things. We need to know the metaprograms.
[26.92 - 27.86]  That's what MP stands for in here.
[41.30 - 42.34]  We need to know what the client's metaprograms are, which includes the Myers-Briggs, which includes the four basic metaprograms, which are the Myers-Briggs. MMs in this case means metamodel patterns. One of the other things about filters is you want to find out the metamodel patterns
[42.34 - 43.50]  that the person uses
[43.50 - 45.78]  or which they represent
[45.78 - 46.76]  with their speech.
[48.28 - 45.90]  In the U.S. Army Recruiters is you want to find out the meta-model patterns that the person uses or which they represent
[45.90 - 125.34]  with their speech. In the U.S. Army Recruiters Project, they found some very, very interesting linguistic patterns. Very, very interesting linguistic patterns. If you actually go and model some unique salespeople, you'll probably find some linguistic patterns which are very, very unique. So metamodel, so model the languaging pattern. And values, values are very important. All of these together provide a key to how the person filters information and in its most basic sense they answer the question why. This area was often neglected, but it provides the desire, and you need to find out with regards to the filter patterns, what are the enabling beliefs and values and metamodel patterns, and what are the disenabling beliefs, values, and metamodel patterns. And then finally, the third thing you'll need to do is elicit the strategies that the person uses. Now, the other thing about modeling is that modeling is also about chunking. It seems to me if I was going to go model a salesperson, for example, and we discovered this when we were, and fortunately, I already had some information about selling. Oh, I need to say this.
[125.40 - 126.02]  Yeah, I need to say this.
[126.24 - 128.14]  Before you actually go and do a modeling project
[128.14 - 131.42]  of modeling someone or some behavior,
[132.16 - 134.26]  probably you ought to have gathered
[134.26 - 137.94]  a fair amount of information about that behavior
[137.94 - 138.76]  or how to do it.
[139.90 - 142.40]  For example, in the process of creating the HUNA trainings
[142.40 - 143.10]  that we've created,
[143.22 - 206.34]  I have read over 360 books on the subject, not just of HUNA, but also related fields. So, my sense is that you ought to have a reasonably sufficient database in your mind so that when someone gives you a pattern or says, this is what I do, you can recognize it. For example, if you were going to model a surgeon, how a good surgeon did something, you probably would need to know something about surgery. Do you know what I mean? And I don't just mean a couple of weeks' worth of information, right? So in when you're going to do modeling, you probably ought to have as much information as you can about it. And the other thing is you need to chunk it correctly, which is, and this comes to me when we talk about strategies, the third element. So, think about this for just a minute. If you were going to go model a salesperson, what would you model? Would you model all selling? The answer is no. Because if you modeled all selling,
[206.44 - 406.58]  what you would get is, because what does a salesperson do? A salesperson doesn't just sell. The salesperson does lots of different things. What's the first thing a salesperson does? Those of you that have been in sales. What's the first thing a salesperson does when they go out to sell? Prospecting. Prospecting. The first job that a salesperson does is prospecting, and I will tell you that that has quite a bit of different strategies, physiology, well, not necessarily physiology, but especially strategies and filter patterns, than does the second thing they do, which is cold calling. And cold calling, by the way, for those of you who've done selling, is often different from prospecting, right? Then the third thing is what? In addition to cold calling, and it may have a different pattern, is making an appointment. Making an appointment, then what? Making an appointment, then seeing the person in person. Presentation. Making a presentation. Closing may have an actual, which is asking for the order, may have another process. How many have we got now? Five. And what happens then? Then service or reassurance afterwards. And service and reassurance could have two different sorts of ways of doing that. So in the process of selling, just off the top of my head here, there are at least seven or so different things that a person does. When we modeled this client that we worked for on the island of Oahu in Honolulu, there was one other thing, which was letter writing. We had a whole different strategy for letter writing because he did letter writing and we needed to duplicate his thinking in that too. So when you chunk it correctly, you're going to end up with a bunch of different behaviors which may look like they're all part of the process, but you need to get to the level where you're able then to separate out the behaviors. And during that, you're going to have to find out the strategies and any other internal representations that go on. So you want to find out not only the strategies, but also the submodalities, I think would be another way to say it. And also, there could be some other parts of the process which don't fall under strategies, but just fall under what kind of, like, do they hold a visual picture in their mind. For example, one of the things that comes to mind is when a client is learning how to play tennis, the most valuable thing that you can tell them when they serve is to, just before they throw up the ball, is to have a picture in their mind of the ball going over the court, going over to the correct court on the other side of the net, and to have that be associated. That's the most valuable thing that you can actually tell a client, or one of the more valuable things you can tell a client when you're coaching them in terms of how do you learn how to play tennis. Actually, what they found, and CyberVision has done a lot of work on this, if you want to know about sports coaching, CyberVision has done a lot of different tape sets on that. And the question is, like, what does a person do in their mind, or what does one do in one's mind before the process of doing whatever you do? Okay, so that's the strategies. It includes everything that goes on in the mind and also any of the other kinesthetic things that the person does, including tactile, proprioceptive information, tactile or feeling information or proprioceptive information about that.
[408.32 - 412.26]  All right, so that's, those are the key elements.
[412.40 - 413.06]  Some other points.
[414.20 - 415.68]  Modeling is separating what's essential
[415.68 - 416.78]  from what's idiosyncratic.
[418.76 - 425.98]  So a golf player may fix his hat every time before he tees off.
[426.04 - 426.68]  He may go like this.
[427.30 - 444.02]  Is that essential or idiosyncratic? Probably idiosyncratic, but you're going to have to find out because probably you ought to write it down if you're doing a modeling project on a golfer and do it and then don't do it and see if that works. And that's how you do, that's how you separate out idiosyncratic behavior. First of all, you do it,
[444.60 - 445.74]  see if you can produce the results,
[445.80 - 447.72]  and then drop it and see if you can still produce the results.
[448.94 - 487.74]  That's what we had to do in the process of modeling HUNA. HUNA has a lot of, shall we say, mystique around it or certain sorts of ways of doing it, and some of those were idiosyncratic and not necessary. So we didn't teach them in our Huna intensives. And some of them were vital and allow for the person to transform or change themselves. And so we had to do that. And the next thing is feedback. Like, where does the person get feedback from? What, where's the feed, what are the, what are, what are the feedback mechanisms and how do they, how do they make, um, how How do they make adjustments when they do it?
[488.96 - 491.54]  Okay, so there's two ways of doing modeling.
[492.30 - 493.34]  The first is imitation,
[493.54 - 495.68]  and the other is a more cognitive approach
[495.68 - 497.56]  where you do it specifically.
[498.24 - 501.70]  Imitation is just find out what the model is, do it,
[502.02 - 504.28]  and then model yourself to see how you did it.
[504.28 - 686.84]  For some folks, that's a little schizophrenic. People say to me all the time, Ted, you're so great at producing hypnotic language patterns, how do you do that? And I have no idea. In fact, when I try to think about that, it gets very strange. Even if somebody says, well, how do you produce it mathematically? I have no idea. No idea. And so, far be it for me to model myself, but if you can, then that's... I noticed in terms of, like, when I was doing rollerblading and assisting some folks in learning how to do rollerblading, that it was possible to do, is to model myself and do it. But in the imitation way, if you model yourself and you see how you do it, then you're going to be able to create a training out of that. And what's essential, as I mentioned earlier, is to separate that which is idiosyncratic, the difference that makes a difference, and then what you do is you consciously start dropping pieces until you find out what's essential. If the behavior disappears, then you've dropped an essential piece. Right? Now the more cognitive approach, which essentially is, I have to admit I've only done this a few times. I can point to more modeling that I've done more of the imitation process. The first thing to do is analyze, seriously analyze the behavior and do its component parts, get the physiology, the strategies, the why, the motivation, and then do contrastive analysis. So contrastive analysis is to, again, two things that are alike, what produces the difference. It's like what we do in submodalities, but it's with the whole package of physiology strategies and the patterns. And then the next part is, after contrastive analysis, is sensitivity analysis. So the only way I can tell you that is kind of like if there's a certain level of brightness, if you turn it down just a little bit less, the brightness isn't enough. You turn it back up, it's enough. But that could be in terms of the strength of the beliefs or the level of the values in the hierarchy. You may have to have a certain value at a certain level for a person to perform a certain way. That's especially true in things like selling and other things that need a fair amount of motivation. And then strategies, number seven is strategies. It's, it's easy to do imitation modeling. It's a little tougher to do cognitive modeling in terms of strategies. When they were doing the pistol shooting modeling, they, they actually had to stand in front of the shooters and ask them what they were doing while they elicited the strategies. Of course, the guns weren't loaded at that time. But a lot of the guys in the Army project got a little grumpy with the modelers because they, like for example, the marksman might move his eyes upward and to the right as you look
[686.84 - 693.24]  at him, indicating that he was accessing visual recall, and the strategy
[693.24 - 700.00]  elicitator would say, what are you doing? And the marksman would say, nothing.
[700.00 - 703.50]  And he would say, well, are you making a picture in your head? No. Don't bother me,
[703.50 - 806.24]  I'm about to shoot. So they'd watch him again and he'd go up to visual recall. Say, what are you doing? Are you making a picture in your head? No. Well, just sort of slow it down again and let's see. Are you making a picture in your head? Well, maybe I am. So the U.S. Army pistol shooting project was one of the more successful ones, actually. They were able to isolate the differences between a marksman and a regular old person. And they actually cut down the training from four days to one day and saved the U.S. Army 75% of the price of the ammunition that they used to use in training, and increase the qualification level from 70%, virtually, to 100%. So the Army was kind of pleased with that, especially in the cutting down of the number of days of training. But it takes a lot of patient working with the person if you're going to do the cognitive approach and really do it. And then again, you have to install it in yourself. You still have to install it in yourself. And then you have to make sure you can get the same results that the experts can get, which I'm back to the same thing, which is it's easier to model something that you know something about. So if you're going to do modeling, like for example in the U.S. Army pistol shooting, there were three people on the modeling team, some of whom brag about it and some of whom you don't hear about. And the three people were Wyatt Woodsmall and Richard Vandler and Anthony Robbins. And Tony had never shot a gun before, so it was kind of hard to install it in himself. But as you may or may not know,
[806.96 - 809.46]  Richard and Wyatt had a fair amount of experience with guns.
[814.26 - 817.22]  So they were ready, willing, and able
[817.22 - 819.88]  to be able to take on the project.
[821.16 - 823.26]  So, I mean, I think that if you're going to model something,
[823.32 - 824.10]  you need to know enough about it.
